County,Organisation,Project Title,Amount Sought,Organisation Type ,Sport Type,Grant Category
Cavan,Arva G.A.A. Club,Phase 3 - Facility Opening & Further Development,"?200,000",Sports Club,Gaelic Games,Local
Cavan,Bailieboro Celtic A.F.C,Upgrade Existing Facilities,"?178,630",Sports Club,Soccer,Local
Cavan,Bailieborough Leisure Centre,Addition of a new ?Primavera Pool Sport? swimpool.,"?93,774",Sports Centre,Swimming,Local
Cavan,Bailieborough Shamrocks GAA,Bailieboro Shamrocks Community Facilities Upgrade,"?151,918",Sports Club,Gaelic Games,Local
Cavan,Ballyconnell Community Centre,BallyConnel Community Centre Refurb,"?186,511",Community Group,Soccer,Local
Cavan,Ballyhaise GAA Club,Building of Gender Neutral Dressing Rooms Stage 1,"?200,000",Sports Club,Gaelic Games,Local
Cavan,Ballyjamesduff AFC Juvenile soccer club,Development of additional playing pitch.,"?152,670",Sports Club,Soccer,Local
Cavan,Ballyjamesduff Community Council,Upgrade to Ballyjamesduff (MUGA) & Tennis Courts,"?21,413",Community Group,Tennis,Local
Cavan,Ballymachugh G.F.C.,Drainage installation & playing surface upgrade,"?76,868",Sports Club,Gaelic Games,Local
Cavan,Belturbet GAA Club,Belturbet GAA Gym Upgrade and Toilets,"?160,000",Sports Club,Gaelic Games,Local
Cavan,Blacklion Golf Club,Sustainability and increase participation.,"?146,942",Sports Club,Golf,Local
Cavan,Castlerahan Community Development Ltd,Walkway refurbishment and maintenance equipment,"?200,000",Community Group,Soccer,Local
Cavan,Castlerahan GAA Club,Castlerahan GAA Fay Park Development - Phase1,"?200,000",Sports Club,Gaelic Games,Local
Cavan,Cavan and Monaghan ETB,Astroturf with goals and fencing,"?188,171",Education & Training Board,Multi-sport,Local
Cavan,Cavan and Monaghan ETB,Redevelopment of Existing School Pitch,"?55,504",Education & Training Board,Multi-sport,Local
Cavan,Cavan Canoe Club,Cavan Canoe Club Equipment,"?58,000",Sports Club,Canoeing / Kayaking,Local
Cavan,CAVAN COUNTY COUNCIL,2023 Upgrade of Cavan Regional Health & Leisure,"?86,638",Local Authority - Town Council - Borough Council,Multi-sport,Local
Cavan,CAVAN COUNTY COUNCIL,Resurfacing of the Cavan Astro Park,"?346,743",Local Authority - Town Council - Borough Council,Multi-sport,Non-Local
