County,Organisation,Project Title,Amount Sought,Organisation Type ,Sport Type,Grant Category
Cork,ROWING IRELAND [Irish Amateur Rowing Union CLG],2023 - Mobile beach sprints and coastal course equipment,"?13,789",National Governing Body of Sport,Rowing,Non-Local
Cork,Russell Rovers GAA Club,New Female & Disabled Changing Rooms & Toilets,"?200,000",Sports Club,Gaelic Games,Local
Cork,Rylane Celtic Athletic Football Club,Rylane Celtic Facilities Upgrade,"?40,000",Sports Club,Soccer,Local
Cork,Rylane Community Park Association,Basketball & Handball/Ball Wall,"?81,781",Community Group,Soccer,Local
Cork,Sailing Into Wellness Company Limited By Guarantee,"Sailing PPE, Storage Containers & Trailer","?49,900",Sports Club,Sailing,Local
Cork,Schull Triathlon association,Modified container for storage and club house,"?30,250",Sports Club,Triathlon,Local
Cork,Schull Yawl Rowing Club,Building a Sustainable Community Activity Centre,"?23,742",Sports Club,Rowing,Local
Cork,"Scoil N�isi�nta Bhiorainn, Berrings National School",Berrings NS/Inniscarra Camogie All Weather Pitch,"?200,000",School (primary or second level),Multi-sport,Local
Cork,Scoil Phobail Bh�ara,Beara Community School Sports Campus,"?489,530",School (primary or second level),Gaelic Games,Non-Local
Cork,Scoil Ursula Blackrock,Scoil Ursula Astro-Turf,"?187,556",School (primary or second level),Multi-sport,Local
Cork,Shamrock Hurling & Football Club,Development of a All weather training facility.,"?200,000",Sports Club,Gaelic Games,Local
Cork,Shandon Boat Club,Boats,"?81,228",Sports Club,Rowing,Local
Cork,Skibbereen & West Carbery Golf Club,A more accessible and inclusive Golf Course,"?159,493",Sports Club,Golf,Local
Cork,Skibbereen RFC,Skibbereen Rugby access and pitch upgrade project,"?120,000",Sports Club,Rugby,Local
Cork,Skibbereen Rowing Club,Purchase of crew rowing boats and oars,"?200,000",Sports Club,Rowing,Local
Cork,Skibbereen Sports Centre,Upgrade of Internal facilities and Energy Systems,"?200,000",Community Group,Basketball,Local
Cork,South Coast Triathlon Club,South Coast Triathlon Club - Swim Safety.,"?3,513",Sports Club,Triathlon,Local
Cork,St Annes Pitch and Putt Club,New Greens Machine 2023,"?20,000",Sports Club,Pitch and Putt,Local
Cork,St Brendans Trust,"St. Brendan's NS, MallowAstro-Turf Facility, Fencing & Floodlighting","?168,600",Diocesan Trust,Multi-sport,Local
Cork,St Catherines Athletic Club,"4 Lane Sprint Running Track, High Jump & Long Jump","?58,171",Sports Club,Athletics,Local
Cork,St Colums Camogie Club,St Colums Facilities and Equipment 2023,"?6,484",Sports Club,Camogie,Local
Cork,St Finbarrs Hurling & Football Club,"Building of dressing rooms, showers and toilets","?200,000",Sports Club,Gaelic Games,Local
Cork,St Itas GAA club,Build dressing rooms and toilets for our GAA club.,"?200,000",Sports Club,Gaelic Games,Local
Cork,St James GAA Clonakilty,St James GAA Club enhancements,"?150,000",Sports Club,Gaelic Games,Local
Cork,St Mary's AFC,Full Size Astro Development,"?200,000",Sports Club,Soccer,Local
Cork,St Michaels Lawn Tennis Club,Upgrade to existing facilities for all to Benefit,"?33,564",Sports Club,Tennis,Local
Cork,St Oliver Plunketts GAA Club (Cork),Ground Entrance/Outdoor Astro/Mower/Gym,"?136,036",Sports Club,Gaelic Games,Local
Cork,St. Colum's GAA Hurling & football Club,St Colum's GAA Club,"?104,480",Sports Club,Gaelic Games,Local
Cork,St. Joseph's Foundation,Development of Disability Access Track & Astroturf,"?175,500",Disability Group,Multi-sport,Local
Cork,St. Mary's Senior School,Active in School!,"?3,200",School (primary or second level),Gaelic Games,Local
Cork,Strand United Football Club,Strand Utd AFC Sports Equipment Application,"?23,066",Sports Club,Soccer,Local
Cork,Sullane FC,Sullane FC Pitch Mower Application,"?12,350",Sports Club,Soccer,Local
Cork,Sunday's Well Boating and Tennis Club,Replacement of existing 8 Tennis Courts,"?100,000",Sports Club,Tennis,Local
Cork,SUNDAY'S WELL RUGBY FOOTBALL CLUB,Pitch & Equipment Upgrade Program 2023,"?48,937",Sports Club,Rugby,Local
Cork,Sundays Well Swimming Club,Swim teaching and training equipment,"?6,000",Sports Club,Swimming,Local
Cork,Sunnyside Amateur Boxing Club,Sunnyside Boxing Club Capital Equipment Grant,"?6,978",Sports Club,Boxing,Local
Cork,The EDUCENA FOUNDATION,Charleville - Erection of Hurling Wall,"?19,409",Diocesan Trust,Multi-sport,Local
Cork,Timoleague Community Association Limited,The redevelopment of the Community Sports Hall,"?200,000",Community Group,Multi-sport,Local
Cork,Togher Celtic Soccer Club,Togher Celtic Soccer Club Equipment Upgrade 2023,"?29,454",Sports Club,Soccer,Local
Cork,Uibh Laoire GAA,Uibh Laoire Pitch Redevelopment & Watering system,"?100,000",Sports Club,Gaelic Games,Local
Cork,Ursuline Secondary School,Ursuline Secondary School 3G Soccer Pitch,"?103,986",School (primary or second level),Multi-sport,Local
Cork,Valley Rangers f.c.,Valley Rangers FC Youth and Equipment Development,"?3,368",Sports Club,Soccer,Local
Cork,Valley Rovers GAA Club,Sand based natural grass sports pitch & equipment,"?200,000",Sports Club,Gaelic Games,Local
Cork,Volleyball Association of Ireland CLG T/A Volleyball Ireland,2023 - IMPACT WIZ MACROOM VC Youth development project,"?1,120",National Governing Body of Sport,Volleyball,Non-Local
Cork,Watergrasshill GAA Club,Facilities Development Phase 2,"?200,000",Sports Club,Gaelic Games,Local
Cork,Waterloo AFC,Waterloo AFC - Goal Posts,"?4,000",Sports Club,Soccer,Local
Cork,West Cork Trec,West Cork Trec Equipment and Trailer Grant,"?3,000",Sports Club,Equestrian Sports,Local
Cork,Whitechurch & Waterloo Community Association Ltd,Drainage of Community Pitch,"?86,847",Community Group,Multi-sport,Local
Cork,Whitechurch GAA Club,Drainage and Sanding of Grass pitches,"?74,751",Sports Club,Gaelic Games,Local
Cork,Whitegate Yawl Rowing & Swimming Club,Purchase of Boat Trailer and Offshore Boat,"?15,832",Sports Club,Rowing,Local
Cork,Youghal Cycling Club,Cyclocross equipment and bike application,"?7,678",Sports Club,Cycling,Local
Cork,Youghal GAA Club,Installation of LED Floodlights,"?200,000",Sports Club,Gaelic Games,Local
Cork,Youghal Golf Club,new short game & coaching practice area,"?87,654",Sports Club,Golf,Local
Cork,Youghal Lawn Tennis Club Ltd,Upgrade Artificial Playing Surfaces (Courts 3 & 4),"?34,600",Sports Club,Tennis,Local
Donegal,8th Donegal Scouts Carndonagh,"Putting The ""OUT"" in ""scOUT""","?33,079",Scout Group,Multi-sport,Local
Donegal,Aileach Youth Club,local youth and community centre,"?15,000",Community Group,Multi-sport,Local
Donegal,An Mhachaire Le Cheile Teo,Upgrade of changing rooms,"?8,997",Community Group,Multi-sport,Local
Donegal,Aodh Ruadh GAA,Adapt pavilion for female participants. Equipment.,"?152,768",Sports Club,Gaelic Games,Local
Donegal,Atlantic Technological University,ATU Donegal Gym Extension,"?500,000",Third level college,Multi-sport,Non-Local
Donegal,Ballindrait badminton club,Ballindrait Badminton Sports club Equipment 23,"?7,335",Sports Club,Badminton,Local
Donegal,Ballybofey United Football Club,BUTDFC - SCEP Equipment Grant 2023,"?33,775",Sports Club,Soccer,Local
Donegal,Ballybofey/ Stranorlar Golf Club,FAIRWAY MOWER. DEVELOP NATURAL PLAYING SURFACE,"?194,169",Sports Club,Golf,Local
Donegal,Ballyliffin Golf Club,Construction of Golf Buggy Bunker,"?200,000",Sports Club,Golf,Local
Donegal,Ballyraine Football Club,Ballyraine FC Girls Sports Equipment 2023,"?44,251",Sports Club,Soccer,Local
Donegal,Bonagee United Football Club,Going Green & more female participation at Bonagee,"?100,080",Sports Club,Soccer,Local
Donegal,Bruckless Community and Sports Centre,Upgrade of existing doors and windows,"?18,270",Sports Centre,Multi-sport,Local
Donegal,Buncrana Gaa,All Weather Playing Area,"?171,307",Sports Club,Gaelic Games,Local
Donegal,Buncrana Gun Club,Provision of new equipment for the gun club,"?6,500",Sports Club,Clay Pigeon Shooting,Local
Donegal,Buncrana Municipal Golf Club,Purchase of a Toro Triplex Ride On Greens Mower,"?19,418",Sports Club,Golf,Local
Donegal,Buncrana Youth & Community Development Company Ltd,BYCD & CO LTD-Astro pitch development,"?200,000",Youth Club,Multi-sport,Local
Donegal,Bundoran Golf Club,Bundoran Golf Club Essential Upgrades.,"?186,265",Sports Club,Golf,Local
Donegal,Burt GAA Club,Community and participation engagement,"?44,969",Sports Club,Gaelic Games,Local
Donegal,C.L.G An Tearmainn,Gym studio project at CLG Tearmainn,"?200,000",Sports Club,Gaelic Games,Local
Donegal,Carndonagh Fc,Upgrade and addition of Essential Club Equipment,"?49,816",Sports Club,Soccer,Local
Donegal,Carndonagh GAA Club,Pitch Development and Ball Wall,"?200,000",Sports Club,Gaelic Games,Local
Donegal,Castlefin Celtic,LED Lighting & Heating Controls,"?104,439",Sports Club,Soccer,Local
Donegal,CLG Baile na nGalloglach,Develop New Inclusive All-Weather Training Pitch,"?200,000",Sports Club,Gaelic Games,Local
Donegal,CLG Gleann Fhinne,Purchase of Mower,"?22,500",Sports Club,Gaelic Games,Local
Donegal,CLG Na Dunaibh,Installation of floodlights,"?135,483",Sports Club,Gaelic Games,Local
Donegal,CLG Naomh M�che�l,"St Michaels: Floodlighting, Goal Posts & Ball Stop","?199,759",Sports Club,Gaelic Games,Local
Donegal,CLG Naomh Na�lle,"Training Pitch, Walkway & Outdoor Sports Equipment","?200,000",Sports Club,Gaelic Games,Local
Donegal,Clonmany Shamrocks Sports & Athletic Limited,"New Mower, Defibrillator & Storage Container","?70,000",Sports Club,Soccer,Local
Donegal,Cloughaneely Golf club,"Drainage to carpark, fairways and bunkers & tees","?35,000",Sports Club,Golf,Local
Donegal,Cockhill Celtic YFC,Cockhill Celtic Changing Rooms Development,"?200,000",Sports Club,Soccer,Local
Donegal,coiste chontae dhun na ngall clg,Donegal GAA Games Participation Project 2023,"?220,000",Sports Centre,Gaelic Games,Non-Local
Donegal,Comhlacht Forbatha An Tearmainn Teoranta,Grassroutes Cycle Right,"?38,000",Community Group,Cycling,Local
Donegal,Convoy Arsenal FC,Astro Turf Training Pitch,"?110,000",Sports Club,Soccer,Local
Donegal,Cranford Football Club,Upgrade equipment for the football club,"?24,751",Sports Club,Soccer,Local
Donegal,Creevy Activity Hub CLG,Creevy Activity Hub All Weather Sports Pitch,"?200,000",Community Group,Multi-sport,Local
Donegal,Cruit Island Golf Club,COURSE IMPROVEMENT /EQUIPMENT UPGRADE,"?119,930",Sports Club,Golf,Local
Donegal,Culdaff Football Club,Sports Maintenance Grant Equipment.,"?25,236",Sports Club,Soccer,Local
Donegal,Cumann Luathclease an Phoinnte,Equipment for Carrickfin/Braade Community Field,"?14,351",Sports Stadium,Athletics,Local
Donegal,Cumann Naomh Padraig,sports equipment non personal,"?25,987",Sports Club,Gaelic Games,Local
Donegal,Curragh Athletic FC,The 2024 CAFC Reducing Energy Consumption Project,"?146,113",Sports Club,Soccer,Local
Donegal,Deele Harps Football Club,"Construction of Dressing Rooms,Toilets & Showers.","?200,000",Sports Club,Soccer,Local
Donegal,Derryveagh Boxing Club,"Mats, heating & protective gear","?2,576",Sports Club,Boxing,Local
Donegal,Desertegney Youth Club,Dunree FC Floodlight,"?40,000",Sports Club,Soccer,Local
Donegal,Donegal Athletics County Board,2023 - Donegal Athletics County Board Equipment Project,"?67,971",Local Sports Partnership,Athletics,Non-Local
Donegal,Donegal Bay Rowing Club,Thrive Outside,"?71,162",Sports Club,Rowing,Local
Donegal,Donegal County Camogie,2023 - Camogie & Strength & Conditioning Equipment,"?24,935",Sports Club,Camogie,Non-Local
Donegal,DONEGAL COUNTY COUNCIL,2023: Ballyshannon Leisure Centre,"?253,127",Local Authority - Town Council - Borough Council,Multi-sport,Non-Local
Donegal,DONEGAL COUNTY COUNCIL,"AURA Studio Space, LED Lighting and Barrier","?181,123",Local Authority - Town Council - Borough Council,Multi-sport,Non-Local
Donegal,Donegal Education and Training Board,Phase 1 Development of an Artificial Grass Pitch,"?200,000",Education & Training Board,Multi-sport,Local
Donegal,Donegal Education and Training Board,Gairscoil Mhic Diarmada Replace Flood lights at Gairscoil Mhic Diarmada,"?19,262",Education & Training Board,Multi-sport,Local
Donegal,Donegal Golf Club,Donegal Golf Club A sustainable future,"?190,000",Sports Club,Golf,Local
Donegal,Donegal League Organisation Co. Ltd,Remove and replace existing Astro pitch fencing.,"?125,000",Sports Club,Soccer,Local
Donegal,Donegal Target Club,Donegal Target Club Shooting Gallery,"?45,000",Sports Club,Shooting Sports,Local
Donegal,Donegal Town Basketball Club,Basketball hoops & score equipment upgrade.,?769,Sports Club,Basketball,Local
Donegal,Donegal Town Soccer Club Trust Company Ltd,"Disability Access, Upgrade Works and Equipment","?100,000",Sports Club,Soccer,Local
Donegal,DRUMBAR UNITED FC CLG,DRUMBAR UTD FC BOUNDARY SECURITY FENCING,"?110,742",Sports Club,Soccer,Local
Donegal,DRUMOGHILL Celtic FOOTBALL CLUB,"New Dressing Rooms, Community Centre and Equipment","?199,953",Sports Club,Soccer,Local
Donegal,Dunfanaghy FC,Clubhouse Development,"?189,739",Sports Club,Soccer,Local
Donegal,Dunfanaghy Golf Club,Golf Club Course Development,"?180,000",Sports Club,Golf,Local
Donegal,Dungloe GAA (CLG An Cloch�n Liath),LED Floodlighting and Pitch side fencing,"?135,409",Sports Club,Gaelic Games,Local
Donegal,Dunlewey Celtic FC,Dunlewey Celtic Equipment Application,"?22,378",Sports Club,Soccer,Local
Donegal,Fanad Gaels GAA Club,Boundary Fence completion.,"?39,622",Sports Club,Gaelic Games,Local
Donegal,Fanad United Football Club,Fanad United Equipment Improvement Programme,"?19,190",Sports Club,Soccer,Local
Donegal,Finn Harps Cooperative Society,Artificial pitch to help girls soccer and schools,"?500,000",Sports Club,Soccer,Non-Local
Donegal,Finn Valley ac Ltd,Finn Valley A.C. Campus Development,"?500,000",Sports Club,Athletics,Non-Local
Donegal,Finn valley Rugby Football Club,Storage Container & Scrum Machine,"?9,688",Sports Club,Rugby,Local
Donegal,Finn Valley Swimming Pool,Heating Systems&Controls Energy Efficiency Upgrade,"?200,000",Sports Centre,Multi-sport,Local
Donegal,Finn Valley Women's Football Club,Sports Equip and Kit for Womens Football Club,"?2,643",Sports Club,Soccer,Local
Donegal,Forbairt Pobail Ghleann Gaothbarra,Drainage Works to Natural Playing Surface,"?24,952",Community Group,Gaelic Games,Local
Donegal,Four Masters Cycling Club,Four Masters Cycling Club Equipment Proposal,"?6,300",Sports Club,Cycling,Local
Donegal,Four Masters GAA Club,Development of indoor multi sport facility,"?500,000",Sports Club,Gaelic Games,Non-Local
Donegal,Gaoth Dobhair Aontaithe F.C.,Gaoth Dobhair Aontaithe FC- Goal Posts & Equipment,"?31,586",Sports Club,Soccer,Local
Donegal,Glebe Sport's Holding's Ltd,Ball Stop/Pitch Side Fencing/Mower/Refurbishment,"?184,033",Sports Club,Multi-sport,Local
Donegal,Glenea United Football Club,Glenea United Pitch Development Plan,"?85,000",Sports Club,Soccer,Local
Donegal,Gleneely Colts FC Sports & Leisure Club,"Natural playing surface, Fencing & Floodlights","?189,509",Sports Club,Soccer,Local
Donegal,Glengad FC,Flood Lighting,"?142,000",Sports Club,Soccer,Local
Donegal,Glenree United Football Club,Ground maintenance and equipment,"?60,000",Sports Club,Soccer,Local
Donegal,Glenswilly GAA,Flood Lighting to Main Playing Pitch,"?160,056",Sports Club,Gaelic Games,Local
Donegal,Greencastle Com. Dev. Co. Ltd,Sports Hall Enhancement Project,"?11,199",Sports Centre,Multi-sport,Local
Donegal,GREENCASTLE GOLF CLUB,GREENCASTLE GOLF CLUB - CAPITAL PROJECTS 2023,"?166,840",Sports Club,Golf,Local
Donegal,Gweedore Celtic Football Club,Installation of energy efficient LED lightbulbs,"?21,899",Sports Club,Soccer,Local
Donegal,Gweedore Golf Club,COURSE IMPROVEMENT /EQUIPMENT UPGRADE,"?180,000",Sports Club,Golf,Local
Donegal,Illies Celtic FC,Building and Fencing refurbishment,"?33,500",Sports Club,Soccer,Local
Donegal,Illies Community Development Association,"H&S, Security and Energy efficiency works.","?140,565",Community Group,Soccer,Local
Donegal,Inishowen Football League,Refurbishment of Inishowen League Clubhouse,"?500,000",Sports Club,Soccer,Non-Local
Donegal,Inishowen Rugby Club,Inishowen Rugby Club Flood Lights & MUGA,"?200,000",Sports Club,Rugby,Local
Donegal,Inishowen Sub Aqua Club,Purchase of Reduced Emissions Dive Boat,"?42,410",Sports Club,Diving/Snorkelling,Local
Donegal,INVER ROWING CLUB,"Upgrade safety, new boats and traditional oars.","?49,735",Sports Club,Rowing,Local
Donegal,IRD Milford Ltd,Upgrade of 2 pitches for increased participation.,"?200,000",Sports Centre,Multi-sport,Local
Donegal,Keadue Rovers Limited,Installation of watering system & pitch equipment,"?130,000",Sports Club,Soccer,Local
Donegal,Kildrum Tigers Football Club,Drainage improvement works grass training pitch,"?30,000",Sports Club,Soccer,Local
Donegal,Killybegs GAA,Build Safe Illuminated Walking/Jogging Track.,"?49,357",Sports Club,Gaelic Games,Local
Donegal,Killybegs Rowing Club,"Safety Boat, Pontoon, Storage,","?44,117",Sports Club,Rowing,Local
Donegal,Kilmacrennan Celtic FC,KILMACRENNAN FC maintenance and equipment,"?13,921",Sports Club,Soccer,Local
Donegal,Kilmacrennan Community Development Company Limited by Guarantee,Phase1 (Dressing Rooms) Modular Building,"?195,000",Community Group,Soccer,Local
Donegal,Kincasslagh Rowing Club,Rowing4All: Inclusivity & Excellence at KRC,"?124,158",Sports Club,Rowing,Local
Donegal,Lagan Harps Football Club,Dressing Room Refurbishment - Purchase Of Mower,"?93,425",Sports Club,Soccer,Local
Donegal,Letterkenny Community Centre,Sustainable Energy Project,"?36,829",Community Group,Multi-sport,Local
Donegal,Letterkenny Golf and Social Club,Letterkenny Golf Club [LGSC] Course Development,"?170,000",Sports Club,Golf,Local
Donegal,Letterkenny Rovers FC,Essential infrastructure upgrade,"?75,297",Sports Club,Soccer,Local
Donegal,Lifford Celtic Football Club,Floodlights for Pitch - Phase 1,"?70,000",Sports Club,Soccer,Local
Donegal,Liquid Therapy,"2023/24 Wetsuits, hoods, boots, tent & wheelchair","?10,000",Community Group,Surfing,Local
Donegal,Loughros Point Rowing Club,1 Safety Boat1 Single Swift 1 Db.1 Quad,"?43,822",Sports Club,Rowing,Local
Donegal,Mevagh Sports Ground CLG,Mevagh Sports Ground (MSG) New pitch development,"?109,284",Community Group,Multi-sport,Local
Donegal,Milford Athletic Club,Sports equipment,"?5,900",Sports Club,Athletics,Local
Donegal,milford hall committee,Milford Community Hall tennis court rejuvination.,"?20,966",Community Group,Tennis,Local
Donegal,Milford United FC,Equipment needs for increased female participation,"?20,022",Sports Club,Soccer,Local
Donegal,Moville Celtic Football Club Ltd.,Moville Celtic FC - Club Facility Improvements,"?189,968",Sports Club,Soccer,Local
Donegal,Moville GAA Club,Moville GAA Growth & Inclusion Project,"?200,000",Sports Club,Gaelic Games,Local
Donegal,Muff Community Development Co-op Ltd,MUGA & Pitch surface u/grd. f/lights & b/stops.,"?103,155",Community Group,Multi-sport,Local
Donegal,Mulroy Hoops Basketball Club,Mulroy Hoops seeks funding for sports equipment,"?6,000",Sports Club,Basketball,Local
Donegal,Naomh Colmcille CLG,Naomh Colmcille CLg Improvement Project,"?165,559",Sports Club,Gaelic Games,Local
Donegal,Naomh Conaill GAA Club,Ball wall with disability viewing and equipment,"?200,000",Sports Club,Gaelic Games,Local
Donegal,Naomh Muire CLG,Creation of a GAA training facility,"?190,000",Sports Club,Gaelic Games,Local
Donegal,Naomh Padraig Leifear GAA Club,"Physio Couches, Scoreboard and Lawn Mower.","?39,000",Sports Club,Gaelic Games,Local
Donegal,NAOMH ULTAN C L G,Main Pitch Resurface and Upgrade Works,"?152,503",Sports Club,Gaelic Games,Local
Donegal,No Barriers Foundation,Community Inclusion Gym Refurbishment,"?193,515",Disability Group,Wheelchair Sport,Local
Donegal,NORTH WEST CRICKET UNION LIMITED,Donegal Cricket Development,"?38,486",Community Group,Cricket,Local
Donegal,North West Golf Club,Shower & toilet facility upgrade & Mower purchase,"?180,564",Sports Club,Golf,Local
Donegal,Otway Golf and Country Club,New Tractor,"?40,980",Sports Club,Golf,Local
Donegal,Pettigo GAA,Pitch development,"?70,000",Sports Club,Gaelic Games,Local
Donegal,Portsalon Golf Club,Portsalon Golf Club Clubhouse upgrades,"?200,000",Sports Club,Golf,Local
Donegal,Raphoe Community Sports Development Ltd,Training pitch enhancements,"?63,000",Sports Club,Soccer,Local
Donegal,Raphoe Hockey Club,Secure storage and Equipment required 2023,"?21,674",Sports Club,Hockey,Local
Donegal,RASHENEY FOOTBALL CLUB,New Mower and upgrade of Equipment,"?54,369",Sports Club,Soccer,Local
Donegal,Rathmullan Sailing and Watersports Club,New 2 person sailing boats,"?27,033",Sports Club,Sailing,Local
Donegal,Red Hughs GAA Club,Walking track and floodlighting development.,"?200,000",Sports Club,Gaelic Games,Local
Donegal,Redcastle Comm Development Ltd,LED floodlights on full size grass pitch,"?55,753",Sports Club,Soccer,Local
Donegal,Rosses AC,"200m 6 Lane Track,Shorefront, Dungloe","?196,239",Sports Club,Athletics,Local
Donegal,Rosses Snorkelling Club,To provide a second Club RIB,"?51,300",Sports Club,Diving/Snorkelling,Local
Donegal,Scoil Chartha Naofa,Scoil Chartha Naofa Artificial Grass Pitch,"?200,000",School (primary or second level),Gaelic Games,Local
Donegal,Scoil N�isi�nta Muire Gan Sm�l,"All-weather surface, Goal frame and ball stop nets","?47,971",School (primary or second level),Multi-sport,Local
Donegal,Sea Rovers FC,Eqipment Non-Personal,"?8,600",Sports Club,Soccer,Local
Donegal,Sean MacCumhaills,Sustainable and Accessible MacCumhaill Park,"?500,000",Sports Club,Gaelic Games,Non-Local
Donegal,Setanta Hurling Club,Playing Pitch Development for Markievicz Camogs,"?134,554",Sports Club,Gaelic Games,Local
Donegal,Sheephaven Sub Aqua Club Limited,Repairs to Sheephaven SAC Club house,"?13,617",Sports Club,Diving/Snorkelling,Local
Donegal,Spraoi agus Sp�rt,Inclusive Sports Equipment,"?62,389",Community Group,Multi-sport,Local
Donegal,St Eunans GAA Club,To erect floodlights at St Eunan's GAA Club,"?200,000",Sports Club,Gaelic Games,Local
Donegal,St Eunan's NS Raphoe,Astro Turf St Eunan's NS Raphoe,"?61,979",School (primary or second level),Soccer,Local
Donegal,St Johnston Cricket Club,St Johnston CC Participation Capacity Increase,"?24,500",Sports Club,Cricket,Local
Donegal,St Mary GAA club,Pitch Maintenance,"?67,473",Sports Club,Gaelic Games,Local
Donegal,St Patricks Ns,All Weather Astroturf Pitch with Flood Lights,"?148,523",School (primary or second level),Multi-sport,Local
Donegal,ST SAFAN'S N.S,Security Fencing for our Astro Turf facility,"?18,269",School (primary or second level),Multi-sport,Local
Donegal,St. John Bosco athletics Club Limted,Upgrade to Facilities of T�r Chonaill AC,"?64,000",Sports Club,Athletics,Local
Donegal,Swilly Mulroy Development Project Society Limited,"Disability Lift, gym equipment, upgraded lighting","?44,840",Sports Centre,Multi-sport,Local
Donegal,SwillySeals Amateur Swiming Club,Inclusion and Participation,"?15,000",Sports Club,Swimming,Local
Donegal,Tir Chonnaill Warriors,Floating pontoon and retractable gangway,"?24,615",Sports Club,Canoeing / Kayaking,Local
Donegal,Whitestrand United Football Club,Community hub for sport & physical activity,"?200,000",Sports Club,Soccer,Local
Dublin,171st Rivervalley Scout Group - Scouting Ireland,Solar Panels and Gazebos,"?17,398",Scout Group,Multi-sport,Local
Dublin,1st Dublin Fairview Scout Group,Sports Equipment & Storage,"?43,920",Scout Group,Multi-sport,Local
Dublin,1st Port of Dublin Sea Scouts (Ringsend),Safe sailing - more impact and adventure,"?45,612",Scout Group,Sailing,Local
Dublin,35th Dublin Donore Avenue Scout Group,Refurbishment of Donore Avenue Scouts Hall,"?39,593",Youth Club,Multi-sport,Local
Dublin,63rd Dublin 14th Port Donabate Sea Scouts Group,Donabate Scouts Accessibele Surface,"?42,500",Scout Group,Canoeing / Kayaking,Local
Dublin,Activ Multisport,"2023 - AMS Swim & bike safety,participation & performance","?14,103",Sports Club,Triathlon,Local
Dublin,Adamstown Cricket Club,Adamstown Cricket Ground Upgrade,"?17,509",Sports Club,Cricket,Local
Dublin,Adamstown Youth and Community Centre,Volleyball Junior/Senior Team,"?5,534",Sports Centre,Multi-sport,Local
Dublin,Ashbrook Tennis Club,Ashbrook Lawn Tennis Club,"?185,435",Sports Club,Tennis,Local
Dublin,Association of Irish Powerchair Football,AIPF Strikeforce Chairs & Streaming,"?60,527",National Governing Body of Sport,Soccer,Local
Dublin,Astra Handball Club,Astra Handball Club Fitness and game equipment,"?7,030",Sports Club,Olympic Handball,Local
Dublin,Athletic Association of Ireland Ltd,Athletics Ireland Equipment,"?500,000",National Governing Body of Sport,Athletics,Non-Local
Dublin,Aughrim Street 9/10th Scout Group,Equipment Upgrade & Painting Clubhouse,"?23,270",Scout Group,Hillwalking,Local
Dublin,AUL - FAI Ltd,Upgrade of changing rooms with ancillary works.,"?500,000",Sports Club,Soccer,Non-Local
Dublin,Average Joes Softball,Average Joes Softball Club Equipment Application,?992,Sports Club,Baseball,Local
Dublin,Avoca Hockey Club,Training and Safety Equipment,"?68,959",Sports Club,Hockey,Local
Dublin,Ayrfield United FC,2023 - Ayrfield United Facilities & Equipment Upgrade,"?25,141",Sports Club,Soccer,Local
Dublin,Badminton Ireland,Badminton Ireland Grassroots & HP Expansion,"?121,470",National Governing Body of Sport,Badminton,Non-Local
Dublin,Balbriggan & Skerries Angling Club,Improve our facility and to grow our membership.,"?8,225",Sports Club,Angling/Fishing,Local
Dublin,Balbriggan Golf Club,Course rehabilitation and rejuvenation works,"?200,000",Sports Club,Golf,Local
Dublin,Balbriggan Rugby Football Club,Gym Development with Changing rooms,"?200,000",Sports Club,Rugby,Local
Dublin,Balbriggan Table Tennis Club,Replacement of Table Tennis Tables,"?3,000",Sports Club,Table Tennis,Local
Dublin,Balcarrick Golf Club Ltd,Project to increase and expand the club membership,"?133,340",Sports Club,Golf,Local
Dublin,Baldoyle United Football Club CLG,Baldoyle Utd Clubhouse Refurbishment,"?200,000",Sports Club,Soccer,Local
Dublin,Ballinteer St Johns GAA Club,All-Weather pitch redevelopment BCS & BSJ,"?200,000",Sports Club,Gaelic Games,Local
Dublin,Ballyboden St Endas GAA Club,Pitch Irrigation System - Carmelite Pitches,"?200,000",Sports Club,Gaelic Games,Local
Dublin,Ballyboughal Boxing Club CLG T/A Phoenix of Ballyboughal,"Upgrades,tracks,Sauna & steam room rural community","?200,000",Sports Club,Boxing,Local
Dublin,Ballyboughal GFC,2023 - Gym & Community Facilities &LED Floodlight Upgrade,"?196,603",Sports Club,Gaelic Games,Local
Dublin,Ballyfermot BMX club,Mountain Bike Project,"?35,306",Sports Club,Cycling,Local
Dublin,Ballyfermot Sports Complex,Essential upgrade to toilets & Gym Equipment,"?81,980",Sports Centre,Squash,Local
Dublin,Ballyfermot United Sports & Social Club,2023 - Equipment Grant for our Sports Ground,"?70,000",Sports Club,Soccer,Local
Dublin,Ballyfermot Youth Service Ltd,Clubhouse improvements and replacement of PPE,"?43,531",Sports Club,Canoeing / Kayaking,Local
Dublin,Ballymun Kickhams GAA Club,Upgrading of facilities,"?186,342",Sports Club,Gaelic Games,Local
Dublin,Ballymun United Football Club,Development of new floodlights,"?179,099",Sports Club,Soccer,Local
Dublin,Balrothery Football Club,Sports Equipment,"?23,583",Sports Club,Soccer,Local
Dublin,Balscadden FC,2023 - Upgrading & Extra Equipment For New Teams,"?40,000",Sports Club,Soccer,Local
Dublin,Bayside Bowling Club,BaysideBowls Electrowind,"?9,116",Sports Club,Bowls,Local
Dublin,Beann Eadair CLG,Two new Senior changing rooms.,"?200,000",Sports Club,Gaelic Games,Local
