Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of people with citizenship Irish,Number of people with citizenship EEA/Uk,Number of people with citizenship Non-EEA,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
Dublin,7652,4743,2909,1347,4089,2079,137,5364,2246,42,0,3374,1790,2488,1565,2760,849,3559
Mid-East,557,336,221,77,265,190,25,397,161,2,0,368,116,73,128,197,83,219
Midlands,219,117,102,33,114,66,6,178,0,40,1,162,30,27,55,71,40,95
Mid-West,583,318,265,95,305,175,8,284,279,35,0,450,53,80,143,220,88,225
North-East,205,117,88,37,110,51,7,101,104,0,0,118,33,54,49,70,40,92
North-West,156,103,53,18,74,57,7,104,38,14,0,116,33,7,20,25,18,47
South-East,335,209,126,53,184,87,11,141,198,0,0,256,51,28,69,91,53,115
South-West,695,447,248,98,403,172,22,504,196,0,0,435,87,173,96,157,56,193
West,403,215,188,91,197,94,21,320,83,0,0,314,54,35,120,183,64,230
