Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of people with citizenship Irish,Number of people with citizenship EEA/Uk,Number of people with citizenship Non-EEA,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
Dublin,7497,4680,2817,1298,4052,2020,127,5221,2241,35,0,3299,1832,2366,1507,2649,821,3415
Mid-East,536,314,222,84,244,182,26,380,159,1,0,349,111,76,129,213,77,211
Midlands,191,115,76,26,99,61,5,152,0,38,1,147,25,19,41,48,34,71
Mid-West,586,334,252,98,312,165,11,249,435,26,0,463,59,64,128,192,82,204
North-East,263,142,121,43,134,78,8,144,115,4,0,156,46,61,68,98,53,130
North-West,164,112,52,14,88,56,6,115,35,14,0,122,37,5,19,25,15,50
South-East,333,203,130,45,194,81,13,130,203,0,0,261,43,29,63,86,43,107
South-West,663,424,239,93,394,158,18,480,186,0,0,415,87,161,96,153,61,199
West,450,259,191,97,214,115,24,341,80,29,0,338,76,36,113,174,58,216
