Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of people with citizenship Irish,Number of people with citizenship EEA/Uk,Number of people with citizenship Non-EEA,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
Dublin,7969,4877,3092,1441,4216,2166,146,5635,2304,30,0,3423,1773,2773,1693,2998,931,3813
Mid-East,573,318,255,86,279,183,25,414,158,2,0,361,121,91,146,226,93,288
Midlands,201,108,93,30,110,58,3,159,6,36,0,156,24,21,52,66,39,105
Mid-West,601,314,287,95,335,161,10,304,275,31,0,459,54,88,153,228,95,250
North-East,187,118,69,34,100,45,8,93,94,0,0,114,30,43,30,49,21,65
North-West,182,102,80,34,85,54,9,131,36,15,0,129,34,19,34,45,29,65
South-East,335,226,109,44,196,87,8,131,205,2,0,256,56,23,67,92,52,119
South-West,738,483,255,99,432,188,19,544,196,0,0,479,87,172,105,159,64,228
West,422,232,190,87,203,108,24,341,79,0,2,322,61,39,111,175,57,212
