Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of people with citizenship Irish,Number of people with citizenship EEA/Uk,Number of people with citizenship Non-EEA,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
Dublin,7848,4811,3037,1416,4156,2128,148,5535,2277,36,0,3358,1809,2681,1648,2933,894,3719
Mid-East,559,316,243,80,270,181,28,404,153,2,0,365,107,87,138,209,94,256
Midlands,213,111,102,31,114,64,4,171,3,39,1,161,26,26,56,73,41,111
Mid-West,589,312,277,98,319,163,9,306,269,22,0,449,57,83,147,222,91,232
North-East,195,119,76,31,108,48,8,94,100,1,0,116,32,47,39,57,30,82
North-West,188,112,76,34,85,61,8,137,36,15,0,139,35,14,31,42,27,66
South-East,326,198,128,56,185,79,6,126,198,2,0,264,43,19,68,94,53,116
South-West,716,469,247,99,419,177,21,530,192,0,0,461,84,171,103,162,60,221
West,410,217,193,87,199,100,24,334,75,0,1,318,57,35,113,177,58,211
