Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of people with citizenship Irish,Number of people with citizenship EEA/Uk,Number of people with citizenship Non-EEA,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
Dublin,7514,4688,2826,1299,4041,2050,124,5261,2219,34,0,3298,1828,2388,1520,2671,830,3434
Mid-East,543,322,221,81,249,188,25,380,169,1,0,350,112,81,123,201,80,197
Midlands,219,121,98,30,113,69,7,180,0,46,1,159,34,26,47,60,35,82
Mid-West,600,331,269,105,312,171,12,286,406,18,0,480,57,63,138,214,87,224
North-East,239,129,110,45,118,69,7,126,111,3,0,146,37,56,55,79,43,104
North-West,158,109,49,15,84,53,6,101,39,14,4,124,30,4,16,23,14,43
South-East,339,211,128,41,199,90,9,122,217,0,0,267,42,30,67,88,50,109
South-West,680,434,246,96,409,156,19,493,189,0,0,423,83,174,99,153,64,212
West,433,234,199,98,213,101,21,335,69,29,0,332,61,40,120,189,59,248
