Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of people with citizenship Irish,Number of people with citizenship EEA/Uk,Number of people with citizenship Non-EEA,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
Dublin,8141,4946,3195,1486,4310,2193,152,5810,2295,36,0,3424,1814,2903,1750,3110,955,3883
Mid-East,591,327,264,92,295,178,26,433,158,1,0,371,128,92,157,245,101,299
Midlands,220,114,106,33,121,57,9,179,8,32,1,168,26,26,56,71,42,120
Mid-West,635,329,306,90,368,166,11,335,276,34,0,470,71,94,171,256,104,287
North-East,178,113,65,31,95,44,8,83,95,0,0,115,26,37,25,38,19,59
North-West,177,100,77,32,82,57,6,125,39,13,0,120,38,19,35,49,29,60
South-East,352,212,140,44,199,100,9,143,207,2,0,270,55,27,72,96,59,124
South-West,778,510,268,105,448,203,22,588,194,0,0,508,78,192,109,174,66,230
West,420,222,198,84,203,109,24,345,73,0,2,319,63,38,109,175,55,212
