Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of people with citizenship Irish,Number of people with citizenship EEA/Uk,Number of people with citizenship Non-EEA,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
Dublin,8296,5042,3254,1516,4372,2255,153,6023,2237,36,0,3456,1787,3053,1828,3263,983,4021
Mid-East,639,354,285,103,313,191,32,471,167,1,0,398,123,118,182,285,114,344
Midlands,235,134,101,42,123,62,8,193,9,32,1,179,30,26,49,68,33,98
Mid-West,736,377,359,115,411,200,10,398,455,30,0,514,92,130,197,306,116,331
North-East,167,104,63,33,90,39,5,67,100,0,0,118,19,30,21,28,17,44
North-West,165,97,68,21,77,59,8,114,36,15,0,111,35,19,29,42,22,63
South-East,339,211,128,47,179,102,11,118,209,2,10,266,40,33,69,87,55,106
South-West,831,542,289,103,472,231,25,630,207,0,0,521,112,198,128,193,79,252
West,443,256,187,81,219,115,28,342,71,30,0,333,68,42,106,169,55,198
