Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of people with citizenship Irish,Number of people with citizenship EEA/Uk,Number of people with citizenship Non-EEA,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
Dublin,8214,5000,3214,1497,4366,2197,154,5919,2258,37,0,3441,1811,2962,1787,3178,971,3929
Mid-East,618,339,279,99,310,182,27,446,180,1,0,396,124,98,158,247,103,301
Midlands,222,113,109,36,121,57,8,181,8,32,1,173,29,20,52,68,38,111
Mid-West,674,337,337,107,386,171,10,363,331,26,0,487,82,105,179,274,107,302
North-East,188,119,69,34,103,43,8,88,100,0,0,119,28,41,26,41,17,64
North-West,164,96,68,24,77,58,5,114,36,14,0,112,35,17,30,42,25,53
South-East,364,219,145,43,213,99,9,146,220,1,0,286,51,27,76,100,61,128
South-West,799,522,277,99,458,221,21,607,198,0,0,507,98,194,113,177,70,233
West,432,247,185,84,209,114,25,336,71,23,2,325,67,40,104,166,51,200
